;CustomerID;Recency;Frequency;Monetary;R_Score;F_Score;M_Score;RFMScore;Customer_Segmentation;CompanyName;ContactName;ContactTitle;Address;City;Country;Phone;OrderID;EmployeeID;OrderDate;RequiredDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipCountry;ProductID;UnitPrice_x;Quantity;Discount;ProductName;SupplierID;CategoryID;QuantityPerUnit;UnitPrice_y;UnitsInStock;UnitsOnOrder;ReorderLevel;Discontinued;recentpurchasedate;TotalSales
21;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10926;4;1998-03-04 00:00:00;1998-04-01 00:00:00;3;39,92;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;72;34.8;10;0.0;Mozzarella di Giovanni;14;4;24 - 200 g pkgs.;34.8;14;0;0;False;1998-03-04;348.0
20;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10926;4;1998-03-04 00:00:00;1998-04-01 00:00:00;3;39,92;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;19;9.2;7;0.0;Teatime Chocolate Biscuits;8;3;10 boxes x 12 pieces;9.2;25;0;5;False;1998-03-04;64.0
19;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10926;4;1998-03-04 00:00:00;1998-04-01 00:00:00;3;39,92;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;13;6.0;10;0.0;Konbu;6;8;2 kg box;6.0;24;0;5;False;1998-03-04;60.0
17;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10759;3;1997-11-28 00:00:00;1997-12-26 00:00:00;3;11,99;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;32;32.0;10;0.0;Mascarpone Fabioli;14;4;24 - 200 g pkgs.;32.0;9;40;25;False;1997-11-28;320.0
14;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10625;3;1997-08-08 00:00:00;1997-09-05 00:00:00;1;43,9;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;14;23.25;3;0.0;Tofu;6;7;40 - 100 g pkgs.;23.25;35;0;0;False;1997-08-08;70.0
15;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10625;3;1997-08-08 00:00:00;1997-09-05 00:00:00;1;43,9;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;42;14.0;5;0.0;Singaporean Hokkien Fried Mee;20;5;32 - 1 kg pkgs.;14.0;26;0;0;True;1997-08-08;70.0
13;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10308;7;1996-09-18 00:00:00;1996-10-16 00:00:00;3;1,61;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;70;12.0;5;0.0;Outback Lager;7;1;24 - 355 ml bottles;15.0;15;10;30;False;1996-09-18;60.0
12;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10308;7;1996-09-18 00:00:00;1996-10-16 00:00:00;3;1,61;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;69;28.8;1;0.0;Gudbrandsdalsost;15;4;10 kg pkg.;36.0;26;0;15;False;1996-09-18;29.0
16;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10625;3;1997-08-08 00:00:00;1997-09-05 00:00:00;1;43,9;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;60;34.0;10;0.0;Camembert Pierrot;28;4;15 - 300 g rounds;34.0;19;0;0;False;1997-08-08;340.0
32;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10573;7;1997-06-19 00:00:00;1997-07-17 00:00:00;3;84,84;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;53;32.8;25;0.0;Perth Pasties;24;6;48 pieces;32.8;0;0;0;True;1997-06-19;820.0
38;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10856;3;1998-01-28 00:00:00;1998-02-25 00:00:00;2;58,43;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;2;19.0;20;0.0;Chang;1;1;24 - 12 oz bottles;19.0;17;40;25;False;1998-01-28;380.0
37;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10682;3;1997-09-25 00:00:00;1997-10-23 00:00:00;2;36,13;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;75;7.75;30;0.0;Rhonbrou Klosterbier;12;1;24 - 0.5 l bottles;7.75;125;0;25;False;1997-09-25;232.0
36;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10682;3;1997-09-25 00:00:00;1997-10-23 00:00:00;2;36,13;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;66;17.0;4;0.0;Louisiana Hot Spiced Okra;2;2;24 - 8 oz jars;17.0;4;100;20;False;1997-09-25;68.0
35;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10682;3;1997-09-25 00:00:00;1997-10-23 00:00:00;2;36,13;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;33;2.5;30;0.0;Geitost;15;4;500 g;2.5;112;0;20;False;1997-09-25;75.0
34;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10677;1;1997-09-22 00:00:00;1997-10-20 00:00:00;3;4,03;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;33;2.5;8;0.15;Geitost;15;4;500 g;2.5;112;0;20;False;1997-09-22;19.0
33;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10677;1;1997-09-22 00:00:00;1997-10-20 00:00:00;3;4,03;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;26;31.23;30;0.15;Gumbor Gummiborchen;11;3;100 - 250 g bags;31.23;15;0;0;False;1997-09-22;932.0
31;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10573;7;1997-06-19 00:00:00;1997-07-17 00:00:00;3;84,84;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;34;14.0;40;0.0;Sasquatch Ale;16;1;24 - 12 oz bottles;14.0;111;0;15;False;1997-06-19;560.0
26;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10507;7;1997-04-15 00:00:00;1997-05-13 00:00:00;1;47,45;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;43;46.0;15;0.15;Ipoh Coffee;20;1;16 - 500 g tins;46.0;17;10;25;False;1997-04-15;688.0
29;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10535;4;1997-05-13 00:00:00;1997-06-10 00:00:00;1;15,64;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;57;19.5;5;0.1;Ravioli Angelo;26;5;24 - 250 g pkgs.;19.5;36;0;20;False;1997-05-13;97.0
28;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10535;4;1997-05-13 00:00:00;1997-06-10 00:00:00;1;15,64;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;40;18.4;10;0.1;Boston Crab Meat;19;8;24 - 4 oz tins;18.4;123;0;30;False;1997-05-13;183.0
27;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10507;7;1997-04-15 00:00:00;1997-05-13 00:00:00;1;47,45;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;48;12.75;15;0.15;Chocolade;22;3;10 pkgs.;12.75;15;70;25;False;1997-04-15;189.0
25;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10535;4;1997-05-13 00:00:00;1997-06-10 00:00:00;1;15,64;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;11;21.0;50;0.1;Queso Cabrales;5;4;1 kg pkg.;21.0;22;30;30;False;1997-05-13;1045.0
24;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10365;3;1996-11-27 00:00:00;1996-12-25 00:00:00;2;22;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;11;16.8;24;0.0;Queso Cabrales;5;4;1 kg pkg.;21.0;22;30;30;False;1996-11-27;403.0
23;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10856;3;1998-01-28 00:00:00;1998-02-25 00:00:00;2;58,43;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;42;14.0;20;0.0;Singaporean Hokkien Fried Mee;20;5;32 - 1 kg pkgs.;14.0;26;0;0;True;1998-01-28;280.0
22;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10535;4;1997-05-13 00:00:00;1997-06-10 00:00:00;1;15,64;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;59;55.0;15;0.1;Raclette Courdavault;28;4;5 kg pkg.;55.0;79;0;0;False;1997-05-13;824.0
30;ANTON;98;17;7497.0;1;2;2;122;Silver Customers;Antonio Moreno Taqueroa;Antonio Moreno;Owner;Mataderos  2312;Moxico D.F.;Mexico;(5) 555-3932;10573;7;1997-06-19 00:00:00;1997-07-17 00:00:00;3;84,84;Antonio Moreno Taqueroa;Mataderos  2312;Moxico D.F.;Mexico;17;39.0;18;0.0;Alice Mutton;7;6;20 - 1 kg tins;39.0;0;0;0;True;1997-06-19;702.0
56;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10558;1;1997-06-04 00:00:00;1997-07-02 00:00:00;2;72,97;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;52;7.0;30;0.0;Filo Mix;24;5;16 - 2 kg boxes;7.0;38;0;25;False;1997-06-04;210.0
57;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10793;3;1997-12-24 00:00:00;1998-01-21 00:00:00;3;4,52;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;52;7.0;8;0.0;Filo Mix;24;5;16 - 2 kg boxes;7.0;38;0;25;False;1997-12-24;56.0
58;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10558;1;1997-06-04 00:00:00;1997-07-02 00:00:00;2;72,97;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;73;15.0;3;0.0;Rod Kaviar;17;8;24 - 150 g jars;15.0;101;0;5;False;1997-06-04;45.0
59;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10707;4;1997-10-16 00:00:00;1997-10-30 00:00:00;3;21,74;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;55;24.0;21;0.0;Poto chinois;25;6;24 boxes x 2 pies;24.0;115;0;20;False;1997-10-16;504.0
60;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10768;3;1997-12-08 00:00:00;1998-01-05 00:00:00;2;146,32;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;22;21.0;4;0.0;Gustaf's Knockebrod;9;5;24 - 500 g pkgs.;21.0;104;0;25;False;1997-12-08;84.0
61;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10768;3;1997-12-08 00:00:00;1998-01-05 00:00:00;2;146,32;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;31;12.5;50;0.0;Gorgonzola Telino;14;4;12 - 100 g pkgs;12.5;0;70;20;False;1997-12-08;625.0
66;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10864;4;1998-02-02 00:00:00;1998-03-02 00:00:00;2;3,04;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;67;14.0;15;0.0;Laughing Lumberjack Lager;16;1;24 - 12 oz bottles;14.0;52;0;10;False;1998-02-02;210.0
64;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10793;3;1997-12-24 00:00:00;1998-01-21 00:00:00;3;4,52;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;41;9.65;14;0.0;Jack's New England Clam Chowder;19;8;12 - 12 oz cans;9.65;85;0;10;False;1997-12-24;135.0
65;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10864;4;1998-02-02 00:00:00;1998-03-02 00:00:00;2;3,04;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;35;18.0;4;0.0;Steeleye Stout;16;1;24 - 12 oz bottles;18.0;20;0;15;False;1998-02-02;72.0
67;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10953;9;1998-03-16 00:00:00;1998-03-30 00:00:00;2;23,72;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;20;81.0;50;0.05;Sir Rodney's Marmalade;8;3;30 gift boxes;81.0;40;0;0;False;1998-03-16;4047.0
68;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;11016;9;1998-04-10 00:00:00;1998-05-08 00:00:00;2;33,8;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;36;19.0;16;0.0;Inlagd Sill;17;8;24 - 250 g  jars;19.0;112;0;20;False;1998-04-10;304.0
55;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10558;1;1997-06-04 00:00:00;1997-07-02 00:00:00;2;72,97;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;51;53.0;20;0.0;Manjimup Dried Apples;24;7;50 - 300 g pkgs.;53.0;20;0;10;False;1997-06-04;1060.0
62;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10953;9;1998-03-16 00:00:00;1998-03-30 00:00:00;2;23,72;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;31;12.5;50;0.05;Gorgonzola Telino;14;4;12 - 100 g pkgs;12.5;0;70;20;False;1998-03-16;622.0
54;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10558;1;1997-06-04 00:00:00;1997-07-02 00:00:00;2;72,97;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;47;9.5;25;0.0;Zaanse koeken;22;3;10 - 4 oz boxes;9.5;36;0;0;False;1997-06-04;238.0
63;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;11016;9;1998-04-10 00:00:00;1998-05-08 00:00:00;2;33,8;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;31;12.5;15;0.0;Gorgonzola Telino;14;4;12 - 100 g pkgs;12.5;0;70;20;False;1998-04-10;188.0
52;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10920;4;1998-03-03 00:00:00;1998-03-31 00:00:00;2;29,61;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;50;16.25;24;0.0;Valkoinen suklaa;23;3;12 - 100 g bars;16.25;65;0;30;False;1998-03-03;390.0
53;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10383;8;1996-12-16 00:00:00;1997-01-13 00:00:00;3;34,24;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;56;30.4;20;0.0;Gnocchi di nonna Alice;26;5;24 - 250 g pkgs.;38.0;21;10;30;False;1996-12-16;608.0
39;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10743;1;1997-11-17 00:00:00;1997-12-15 00:00:00;2;23,72;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;46;12.0;28;0.05;Spegesild;21;8;4 - 450 g glasses;12.0;95;0;0;False;1997-11-17;335.0
40;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10768;3;1997-12-08 00:00:00;1998-01-05 00:00:00;2;146,32;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;71;21.5;12;0.0;Flotemysost;15;4;10 - 500 g pkgs.;21.5;26;0;0;False;1997-12-08;258.0
42;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10707;4;1997-10-16 00:00:00;1997-10-30 00:00:00;3;21,74;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;70;15.0;28;0.15;Outback Lager;7;1;24 - 355 ml bottles;15.0;15;10;30;False;1997-10-16;416.0
43;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10768;3;1997-12-08 00:00:00;1998-01-05 00:00:00;2;146,32;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;60;34.0;15;0.0;Camembert Pierrot;28;4;15 - 300 g rounds;34.0;19;0;0;False;1997-12-08;510.0
44;AROUT;26;30;13788.0;2;3;3;233;Gold Customers;Around the Horn;Thomas Hardy;Sales Representative;120 Hanover Sq.;London;UK;(171) 555-7788;10383;8;1996-12-16 00:00:00;1997-01-13 00:00:00;3;34,24;Around the Horn;Brook Farm Stratford St. Mary;Colchester;UK;13;4.8;20;0.0;Konbu;6;8;2 kg box;6.0;24;0;5;False;1996-12-16;96.0
